Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
P10.0KLCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-2RKF1002X,,5,0,0,7 Weeks,RES SMD 10K OHM 1% 1/10W 0402,,RoHS Compliant,Lead free,Not Available
490-6203-1-ND,MURATA ELECTRONICS (VA),GRM1555C1H180FA01D,,2,0,0,10 Weeks,CAP CER 18PF 50V 1% NP0 0402,No delivery date available,RoHS Compliant,Lead free,Not Available
311-1344-1-ND,YAGEO (VA),CC0603KRX7R9BB104,,2,0,0,16 Weeks,CAP CER 0.1UF 50V 10% X7R 0603,,RoHS Compliant,Lead free,Unaffected Jun-2014
P1.50KLCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-2RKF1501X,,5,0,0,7 Weeks,RES SMD 1.5K OHM 1% 1/10W 0402,,RoHS Compliant,Lead free,Not Available
P33.0LCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-2RKF33R0X,,2,0,0,7 Weeks,RES SMD 33 OHM 1% 1/10W 0402,,RoHS Compliant,Lead free,Not Available
MMBT3906-TPCT-ND,MICRO COMMERCIAL CO (VA),MMBT3906-TP,,1,0,0,8-12 Weeks,TRANS PNP 40V 0.2A SOT23,,RoHS Compliant,Lead free,Unaffected Jun-2014
445-5958-1-ND,TDK CORPORATION (VA),C1608X7R1A225K080AC,,2,0,0,12 Weeks,CAP CER 2.2UF 10V 10% X7R 0603,,RoHS Compliant,Lead free,Unaffected Apr-2011
BAS40-05TPMSCT-ND,MICRO COMMERCIAL CO (VA),BAS40-05-TP,,1,0,0,8-12 Weeks,DIODE SCHOTTKY 40V 200MA SOT23,,RoHS Compliant,Lead free,Unaffected Jun-2014
CKN10502CT-ND,C&K COMPONENTS (VA),PTS810 SJM 250 SMTR LFS,,2,0,0,13 Weeks,SWITCH TACTILE SPST-NO 0.05A 16V,,RoHS Compliant,Lead free,Unaffected Jun-2013
754-1101-1-ND,KINGBRIGHT COMPANY LLC (VA),APHHS1005CGCK,,1,0,0,6 Weeks,LED 1X0.5MM 570NM GN WTR CLR SMD,,RoHS Compliant,Lead free,Unaffected Jun-2014
754-1104-1-ND,KINGBRIGHT COMPANY LLC (VA),APHHS1005SURCK,,1,0,0,6 Weeks,LED 1X0.5MM 630NM RD WTR CLR SMD,,RoHS Compliant,Lead free,Unaffected Jun-2014
754-1504-1-ND,KINGBRIGHT COMPANY LLC (VA),APHHS1005QBC/D,,1,0,0,6 Weeks,LED BLUE 470NM WTR CLEAR SMD,,RoHS Compliant,Lead free,Unaffected Jun-2014
568-4140-1-ND,NXP SEMICONDUCTORS (VA),"PRTR5V0U2X,215",,1,0,0,5 Weeks,TVS DIODE 5.5VWM SOT143B,,RoHS Compliant,Lead free,Unaffected Jul-2011
CTX839CT-ND,CTS-FREQUENCY CONTROLS (VA),403C35D12M00000,,1,0,0,7 Weeks,CRYSTAL 12MHZ 18PF SMD,,RoHS Compliant,Lead free,Unaffected Jul-2011
576-2980-1-ND,MICREL INC (VA),MIC5225-3.3YM5 TR,,1,0,0,12 Weeks,IC REG LDO 3.3V 0.15A SOT23-5,,RoHS Compliant,Lead free,Unaffected Dec-2013
952-1383-ND,HARWIN INC,M50-3500542,,1,0,0,8 Weeks,CONN HDR 1.27MM VERT AU 10POS,,RoHS Compliant,Lead free,Unaffected Jun-2014
H11611CT-ND,HIROSE ELECTRIC CO LTD (VA),ZX62RD-AB-5P8,,1,0,0,6-8 Weeks,CONN RCPT MCR USB AB SMD TH SHLL,,RoHS Compliant,Lead free,Unaffected Sep-2011
568-9586-ND,NXP SEMICONDUCTORS,"LPC11U35FHI33/501,",,1,0,0,17 Weeks,IC MCU ARM 64KB FLASH 33HVQFN,,RoHS Compliant,Lead free,Not Available
